#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
3.00000E+00 1.28129E-09 8.11755E-09 2.17366E-07 7.35684E-06
3.20000E+00 1.42480E-09 8.37947E-09 2.93349E-07 9.12441E-06
3.40000E+00 1.58306E-09 8.71095E-09 3.90943E-07 1.12027E-05
3.60000E+00 1.75825E-09 9.12014E-09 5.15430E-07 1.36355E-05
3.80000E+00 1.95289E-09 9.61598E-09 6.73299E-07 1.64734E-05
4.00000E+00 2.16976E-09 1.02082E-08 8.72511E-07 1.97750E-05
4.50000E+00 2.83032E-09 1.21842E-08 1.62052E-06 3.05301E-05
5.00000E+00 3.70368E-09 1.50349E-08 2.90886E-06 4.60395E-05
5.50000E+00 4.83182E-09 1.90230E-08 5.05102E-06 6.83640E-05
6.00000E+00 6.18051E-09 2.44959E-08 8.38800E-06 1.00551E-04
6.50000E+00 7.51369E-09 3.23164E-08 1.29650E-05 1.47133E-04
7.00000E+00 8.33075E-09 4.38134E-08 1.79539E-05 2.14896E-04
7.50000E+00 8.17951E-09 5.90633E-08 2.16816E-05 3.14076E-04
8.00000E+00 7.16060E-09 7.94078E-08 2.30356E-05 4.60252E-04
8.50000E+00 5.80272E-09 1.06775E-07 2.23907E-05 6.77388E-04
9.00000E+00 4.53415E-09 1.43985E-07 2.07684E-05 1.00278E-03
9.50000E+00 3.51297E-09 1.95242E-07 1.89245E-05 1.49520E-03
1.00000E+01 2.73892E-09 2.66908E-07 1.72091E-05 2.24820E-03
1.05000E+01 2.16266E-09 3.68721E-07 1.57302E-05 3.41155E-03
1.10000E+01 1.73290E-09 5.15546E-07 1.44921E-05 5.22336E-03
1.15000E+01 1.40901E-09 7.29310E-07 1.34644E-05 8.04889E-03
1.20000E+01 1.16149E-09 1.03873E-06 1.26107E-05 1.23925E-02
1.25000E+01 9.69524E-10 1.46822E-06 1.18978E-05 1.87627E-02
1.30000E+01 8.18466E-10 1.99676E-06 1.12982E-05 2.71442E-02
1.35000E+01 6.97970E-10 2.48692E-06 1.07899E-05 3.60806E-02
1.40000E+01 6.00634E-10 2.70596E-06 1.03556E-05 4.26732E-02
1.45000E+01 5.21094E-10 2.55728E-06 9.98160E-06 4.48773E-02
1.50000E+01 4.55410E-10 2.18838E-06 9.65730E-06 4.33053E-02
